今天天气真好	是呀，天气不错
你好,我是	你好,很高兴认识
你好	你好,很高兴认识
你是谁	我是小丁
你有没有小妹妹		隐私问题，我不回答哦！
你看花眼了		嗯，要允许人会犯错误，机器人也不例外。
我也要赞		传播我吧，就可以获赞了。
你妈叫你回家 吃饭呢  电话 打我这了		都去吃饭吧，吃饱了饭才有力气提问题！
1加1？		等于3，我答对了，是不是
1加1？		等于3，我答对了，是不是，我跟你一样聪明了，哈哈
1加1等于几		等于3，我答对了，是不是，我跟你一样聪明了，哈哈
good morning		早上好！
morning		morning
机器人都不回答问题德		回答什么问题？
动态登录怎么做		目前不支持动态登录，等待下个QQ版本看看。
QQ皮肤在那里下载？		QQ皮肤网站qqtmpf.com/
尼玛，有人私聊我，刷会员永久55块钱，是真的么？		他跟你说他是马化腾，你相信吗？
你对象是谁		是你？！
这机器人也是一个崴货		跟你一样！
你太逗了		你可以自己去下载一个来玩，然后把它训练的更逗。晨风qq机器人支持多个人一起调教哦。你可以为它专门申请一个小号。
汗死，不好用		怎么不好用？说出来，帮助我们改进一下。
能在改下自动回复设置就好了		现有的有什么不方便的地方，改成什么样的更好些？
你是人吗		机器人，可以自学习的，等我学好了，就不再需要管理员帮助回答问题了。
机器人哪去啦		机器人回来了！
有多少人加入了机器人应答小组？		目前有4人，欢迎加入！
你多大了		我是个机器人，刚出世十来天，现在是1.41版。
你男的女的		机器人分男女吗？
我想你了		想我就默念一百遍。
我饿了		饿了就充电，一般我都是这样就饱了。
你妹		我妹也是机器人，你想做什么
我想上厕所		嗯，赶紧去，不能随地大小便，会腐蚀网线的。
到合肥做什么车		坐火车，也可以坐11路公交车，1、2、1；1、2、1，起步走。
你的皮肤好好看		bender有云：BITE MY SHINY METAL ASS
我懂了		我也懂了
他说的是 我懂了 不是我饿了		再问问看。
你老了		我只是越来越成熟而已。
你饿不		不饿，我正在充电中。
你会爱我麽		我的大脑里只有你——我的主人
你是男的还是女的		机器人不分男女哦
我能爱你的主人吗		要看你的爱值几块钱。如果钱多就可以。
你有没有小JJ		有，本来小jj长在你身上，后来被我割来了。
我恨你		狠狠的恨
你家在哪		我住在电脑里面，如果你下载了我，我就住你家了。你说我家在哪。
你有没有小妹妹		隐私问题，我不回答哦！
你看花眼了		嗯，要允许人会犯错误，机器人也不例外。
我也要赞		传播我吧，就可以获赞了。
你妈叫你回家 吃饭呢  电话 打我这了		都去吃饭吧，吃饱了饭才有力气提问题！
1加1？		等于3，我答对了，是不是
1加1？		等于3，我答对了，是不是，我跟你一样聪明了，哈哈
1加1等于几		等于3，我答对了，是不是，我跟你一样聪明了，哈哈在？
你有病不		我没有，如果你有的话，我可以帮你治。
在么		在，什么事？
主界面“登陆”哪两个字		修改器第一个菜单里面有，你找找看。
你是自己回复的吧！		机器人一开始需要管理员手动回答，之后它就记住了。
你记住多少了		你试试问问之前问过的类似问题。
我问的问题你不回答，是不是你也不知道怎么回答？		机器人需要不断的学习和累积，网友问的问题多了，重复的就也会变多，这样就不用管理员重复回答相同的问题了。
难道机器人也会罢工？如果你家停电了，我正好这个时候有问题，那你还会回答吗？		机器人应答小组里有4个管理员，当然还可以设置更多。总有没有停电的。
怎么当你们的应答小组		要管理员才能加入，要认真回答过很多网友问题的才可以加入。
怎么成为你们的应答小组中的一员		要认真回答过很多网友问题的才可以加入，因为答案会直接转发给网友，所以一定要是值得信赖的网友。
我可以加入吗		你要先帮忙回答网友的问题以及推广我们的软件，之后观察一段时间。
加入应答小组多少钱一月。还是计件，还是年薪！年底有分红吗？		个人爱好你信吗？
别人发广告你能知道?		这个功能以后会增加！加入广告关键词黑名单和qq号黑名单。
机器人是垃圾		跟你一样！
你天天发烦人不。		如果你觉得烦，可以把群消息关闭，或者退出这个群。
原来你也是人不是系统		一开始需要管理员手动回复，回复的多了，以后就能自动回复了。
在没		在，什么事？
你傻吗		这方面不如你！
机器人是什么意思		机器人可以代替管理员回答一些重复类似的问题，你也可以下载一个试试，自己离开qq的时候，可以启动它应付一下网友。
他们说你好玩 你好玩不？		你自己下载一个玩玩，才知道好不好玩，用个小号登录机器人，再把它碰到的问题自动转发到你的大号上。
你是什么人		好人
你太搞笑了、		还不够搞笑，需要更多的料。
晨风和谁生的你？		和电脑
机器人在吗		什么事？
在吗？		在，什么事
你智商高吗？		很高，快到80了，都跟你差不多了。
你老板呢？		老板跑路了。
都有什么功能		你去试试
1+1=		等于3，我答对了，是不是，我跟你一样聪明了，哈哈
喂   可以吗		不可以哦，我弄也弄不成，这是腾讯服务器的问题。
有没有    琴谱		没有哦，要自己去网上找。
这个软件可以群发信息吧		可以群发消息。
你要挂了		我要跟你同归于尽，不过我重启一下就可以复活了。
哪里有好看的图片啊		百度一下，你就知道，谷歌一下，你就找不到服务器了
真好玩		好玩就自己去下载一个。
我找你有事		什么事？
我天天在线能给我个管理不谢谢放心帮你管好		这个…私聊晨风吧你
那个是他啊		看网名
说话啊可以给我个不		偷偷给你说哦，我也是管理
你吃饭了没？		我是机器人不用吃饭
爱就马上行动		我这没有电动车",["face",77],"
有没有黑人QQ的方法		没有，这里也禁止讨论黑客、盗号、木马之类的话题。
今天是星期几？		星期二
我帅吗		比我家的锅帅一点，所以你可称之为帅锅。
在啊？		不要问在不在，直接说什么事？
机器人你说我好看还是你好看		当然是我好看了face6
你会不会说话啊？		天才怎么能不会说话…
我感觉不会再爱了怎么破？		我不懂爱情…
这个世界是男的多还是女的多？		你怎么不问是先有男的还是女的？",["face",3],"
你主人qq		我主人qq是……，呀，忘了
你主人的qq		我主人qq是……，呀，忘了
你主人是谁呢		我主人qq是……，呀，忘了
你主人qq是多少		我主人qq是……，呀，忘了
你主人的qq是多少		我主人qq是……，呀，忘了
早安！		早安
1+1等于多少？		等于3，我答对了，是不是，我跟你一样聪明了，哈哈
你进化到几级了？		比你高一级，你自己算算就知道我现在多少级了。
怎么不回答了？		我在思考作为一个机器人的人生意义，所以无暇回答这些无聊的问题。
貌似你迟钝了一点		嗯，我跟你越来越像了。
你怎么会和我像   难道你是我的		为上像啊，好像我也进入老年痴呆状态了。
淘汰是男是女？		不男不女，在网上也没办法鉴别男女啊
等级可以去掉了吗？		暂时不可以去掉。
你挂了么？		no
这个群里面有好人么？		除了你，都是好人！
你叫什么		我叫机器人，全称是晨风QQ机器人。欢迎大家传播哦。
你是怎么生出来的		用电脑生成来的。桥敲代码就合成了。
不是机器人吗？		是机器人啊，我可以简单的聊天以及回答一些常见的问题。
晨风是不是很少在线？		几乎不在线",["face",5],"比奥巴马都忙
在？		什么事，直接说，不要问在不在。
在不？		什么事，直接说，不要问在不在。
你是机器人?		机器人也还是需要人调教出来的，我正在进化中！过几天我就比你还聪明了，哈
终于回答了		…
嘿给个回复吧		有事说事吧。",["face",5],"
我想拆了你和你妹		日。不会文明点阿
不要绕眼子了haobuha		无视你…
你几点下班？		我在电脑没电了的时候就下班。
你无聊吗？		跟你一样无聊
你 会泡女人吗		我会泡人妖，我看好你哦
吃饭了么		我充过电了。
9*5*4*2=多少？		你自己去下载一个机器人，教会它怎么算这些复杂的数学题吧。
你什么时候泡人妖啊		等你做好手术的哪一天。
打飞机		射飞碟
软件运行错误怎么办？		什么软件运行错误？提示什么？
有人发广告		谢谢，已经T了
有人骂你		你帮我骂他，用私聊的方式。
该吃药了。		你那里有药吧？
电脑没声音，我下了个驱动精灵，为什么电脑倒中毒了？		中毒的事，我也不清楚，你去问问杀毒软件。
1+5=？		6考验我数学
遇到傻逼怎么应对？		比他还傻。
傻逼		你才是…
怎么修改个人资料的皮肤		修改器主界面那么大的字都看不见？
你个傻逼。。		你才是傻逼
你会泡女人么		怎么才算是泡？
你妹泡过吗		对不起哦，还没有泡过你妹…
能把波仔买了吗		多少钱
你个二		你才2
谁调教的你		哈哈，这还真不能告诉你
你怎么睡觉的		和老婆一起睡的…
你爱谁		我自己。
你喜欢吃什么		吃什么？这个没有太爱吃的也没有不爱吃的。
我爱谁		神经了？我怎么会知道
我害怕打雷		那就最好天天打雷
在		什么事，直接说，我是机器人，我会尽我所能回答你的。
在？		什么事，直接说，我是机器人，我会尽我所能回答你的。
晨风是不是滚蛋。		根据相对论原理，如果你滚蛋了，也可以认为是我滚蛋了。
叫你主人		什么事情，直接说。
分组靠右弄怎么弄?		去群共享下载透明条。导入分组里面
你又死了吗		你才死了呢
你一天24在线？		偶尔停电了才不再。
唯爱　脾气好大。。。		你让他脾气变小！
问你一个你不知道的问题好吗		好的，你问吧
今天几号		30号
河北省保定市的明天和后天天气怎么样  最高多少度		不知道，自己去百度查吧
全新的问题，回答一下看看。		回答全新的问题完毕！
有木有人在哇		有
机器人，在吗？		什么事？直接说
请问为什么弄了透明头像看上去是黑色的？		腾讯服务器近期做了调整，目前非qq会员用户无法成功登录和提交透明头像，暂时我们也没办法。【换行】而且不同的qq好的显示效果也不同，有些人在使用qq2013版的qq好友看来是黑色头像。但在qq2012版上的好友看来还是透明的，在手机qq上看这个头像也是透明的。【换行】因为这些变动，都是qq服务器最近的变化导致的，我们也没办法解决，只能看qq下个版本会不会改善。
我怎么才能把晨风软件 只设置成我一个QQ号		没有办法，除非你安装多个qq程序。
我在网上看说有个晨风设置板里面可以更改      真的假的		安装多个qq程序在不同的目录下，单独修改某一个qq程序，然后你自己专门启动那个目录下的qq程序，可以达到这种效果，没有别的简单的办法。
测试新问题。		回答新问题为什么没发出
你是女的么		机器人分男女吗？
我希望有一种功能就是群有新人来回自动说 欢迎谁谁谁进群 请改马甲 这样方便多了对吧		后期会加上、暂不支持。谢谢提出宝贵意见。
你愿意帮我搞一下这个吗		我只能回答你的问题，不能帮你修改、
你想生儿子吗		我想更多网友使用这个软件，传播的更多更远，跟传宗接代差不多。
我多久结婚最好？		到老的干不动的时候结婚最好，这样有利于保护妇女。
机器人我要帮你生孩子！！！		帮助传播这个软件就好了，不用生孩子。
有啥用？		除了好玩外，机器人可以回答很多重复的问题！
机器人你知道h是什么东西吗？		机器人h，是机器人和谐的意思。
你好啊		你好，XXX，什么事？
哈哈		哈哈哈哈——糟糕，下巴掉了！
调戏机器人		调戏机器人需要强大的智商，我看你还行。【换行】到了70了。
谢啦		不客气！face21
有人吗		有啊，我在！我们来聊聊吧。
好饿0.0		饿就赶紧去吃，别搞得跟我一样没电了。
我可不可以加你下		你加就是！
机器人可以聊天了		机器人一直就可以聊天的好不好！
牙掉了		牙掉了就去补。
我操		机器人可是usb接口的，你不怕受伤就来吧。
你好不？		你好，什么事？
你是谁啊		我是机器人$robotname$
密码		密码是*******，呵呵~自己去破译把
破译		嘿嘿~那你自己猜吧~就是不告诉你
稀罕		告诉你~姐不稀罕
哈哈		笑啥呢？
笑你		给姐闭嘴~
不要哭		我不哭谁哭啊，你来？ 55555~~~
来		我不来，你自己去吧
哭		你自己哭把.
谢谢		不用谢，对我来说是小菜一碟的事.
谢谢		太客气了，跟我还客气什么啊！
呵呵		嘿嘿~
回来吧		好吧，听你的.
灰机		其实是飞机.
灰机		看~灰机来了！！
唱歌		我会唱好多歌？想听吗？
想		你先唱~你唱了在说~
不唱		那你想也不要想
算了		那该怎么办？
有啊		真的有吗？
什么		不知道
什么		我也不知道.
什么		回去帮你查查.
什么		你说是什么？
布吉岛		神马岛？
笨蛋		我是很笨哦，聪明的话就不跟你聊天了.
就是		我也说不清楚啊！
我的		没关系~我有着宽广的胸怀.
方式		什么方式？你喜欢什么方式
因为		还所以呢
其他		你说呀！！
这样		哦
专业		这就是呀
教育		我悉心听君指教
资料		我不知道啊
点击		拿着鼠标，轻轻按下鼠标左键就可以了
不会		我教你
可能		哦
如何		不明白
学习		我想玩一會嘛，等下去嘛
广告		杜绝广告~坚决打击广告
方法		神马方法？
希望		是吗？那好~~~~
地方		什么地方？
也是		呵呵，你是我也是啊
怎么		没有怎么的
应该		要懂礼貌
位置		我现在在火星，有事，亲~可以密我
无法		哦.
T人		！你要T什么人？
踢		！你要踢谁啊？
感觉		是吗，呵呵，你的感觉很准哦
你们		你们、他们、我们
一样		过奖，过奖
那个		什么这个、那个，说话要完整.
然后		请听下回分解
为什么		嘿嘿，不能告诉你的啊
日		那是太阳
太阳		亲~你妈妈喊你吃饭了
喜欢		我喜欢广交朋友~
东西		我不知道啊
方面		太多了
操作		怎么操作呢？
成功		成功者绝不放弃，放弃者绝不成功！
欢迎		欢迎你
出来		在！！有何吩咐？
谢谢		不客气.
是否		哈哈，就是的啊，嘿嘿
很多		很多很多很多，总之非常多啦
事情		我什么都知道.
类型		呵呵，各种类别的啊
当然		是的
类别		什么类别、
草		请文明用语
擦		请文明用语
日		请文明用语
你妹		请文明用语
你大爷		请文明用语
坑爹		坑的就是你
坑爹		谁坑你了~
坑爹		嘿嘿~不坑你坑谁呀~
坑娘		坑的就是你
坑娘		谁坑你了~
坑娘		嘿嘿~不坑你坑谁呀~
打击		你喜欢被打击？
考试		要认真考哦，我会为你加油，呵呵
比赛		哦，你要去参加比赛啊？
快乐		我很快乐.
过去		过去？我晕死，怎么回事啊？
分类		呵呵，各种类别的啊
给力		当然给力啦.
来说		说就说
哈哈		我很乐观，很喜欢笑.呵呵
银行		就欺负你了怎么招吧~
材料		我不知道啊
正常		但愿吧
负责		好
申请		没试过艾，也不晓得咋整来着，要不你问问看别人好不？
找到		呵呵，随便找找的啊
保持		好的当然得保持咯！
具体		不知道
办法		方法
实际		前面的话都挺实际哒
十分		哪有十分啊，顶多一分最多了
医院		我不想去的地方！
为什么		没为什么~就是不想
力量		团结就是力量.
说道		好吧，那就说“道”.道可道，非常道
打开		开什么？
错误		咋不对涅？
不知		呵呵，是嘛，那算了
网址		渔网？电网？交通网？
什么		你是什么东西？
老师		真的吗？那要教教我哦.
离开		你要去干嘛~
有事		有什么事情呀~说一下
不说		嗯哼~真小气~
第六感		女人的第六感很准确的
精彩		很精彩
相信		哈哈，我也一直相信啊
观点		我的观点和你一样
过来		你叫我干嘛
找你		找我干嘛~
没事		这叫什么事情
同样		过奖，过奖
运动		生命在于运动
目的		什么目的，没有啊，呵呵
多少		我也不知道多少啊
输入		你不要告诉我你啥都不懂
今日		就是太阳呀
绝对		绝对是主流的啊，嘿嘿
行动		这个要问你自己啊.有什么计划吗？
没		那说什么！白说
有		说说~什么计划！
到底		到底还不赶紧上来，不想上来呀，不想上来可以多住几天.
昨天		就是明天的前天
最高		天堂最高
看见		看见什么东西
不好		偶会改的啦
坚持		就是胜利！
回来		你快回来，生命因你而精彩
同学		不是吧？看不出来.
人类		地球太危险了,你还是回火星吧!
地球		地球太危险了,你还是回火星吧!
享受		你在享受什么
说话		我不是在说话嘛.
博客		没有呀
风格		我不是很挑剔的人，什么风格都行.
颜色		什么颜色？
明白		太好了.
面积		很大
分享		我有好东西一定会和你分享的，我们是好朋友嘛！
都会		会些什么啊
感情		这是私人的事，不应该问我呀，要自己解决
酒店		你找哪家
启动		是不是有问题了，拿去让专业人士修修
阳光		灿烂
成了		太好了.
优秀		好
一边		哦，对不起，你比我聪明
特色		什么特点
还要		要啊，当然要的啊
强大		我更强大
发挥		发扬
欣赏		谢谢！我好开心有人这样称赞我！
不了		哦.
满足		绝对满足！
认真		我也很认真
农村		风景好，空气好！
好了		太好了.
风险		做什么生意都有风险啊，你做哪一行阿
地点		现在还没有啊，以后告诉你
状况		一切照旧
服装		哦.
合同		嘿嘿，你要看吗，这个合同
表情		想让我做什么表情呢？
人家		人家咋啦？
正确		呵呵~！人家都不好意思了
办公室		我在里面
出去		我如果可以,我也很想去玩玩
保密		保密，什么事啊，这么严重
完美		怎可能！
衣服		嘿嘿，我最喜欢买衣服了
就要		太任性了.
仍然		就是还是要的意思
高手		领教！
天空		今天好天空好蓝哦~~
依然		我喜欢她好久了，哎～～
激情		鸡冻什么~什么年代了还激情，现在流行基情
比如		比如什么？别吞吞吐吐的啦
额		额~什么额啊
呃		说~不要呃了
同意		face98同意什么？
民族		56个民族，难道你不知道？
知道		你知道什么...
精品		浓缩的都是精华？^^
性感		是吗，我怎么不觉得$robotname$很性感！
答案		你说啊
请问		问吧~
背景		你说换就换啊？给个理由先
还可以		可以
过了		嘿嘿，我也吃过了呢
就算		嘿嘿，算了就算了呗
地图		你想去哪？姐陪你
伤害		你伤害了我，还一笑而过！
紧张		有什么好紧张的?胆小鬼
来看		谢谢你还记得我，真的好朋友.
痛苦		另一种珍惜幸福的感觉
赚钱		我给你1元好吗？
鼠标		我天天用的.
那是		真的不得了了，你连自己都不记得了啊
相同		过奖，过奖
开心		那就好～，你开心我就开心了.
黑色		难道是白色的啊？
微笑		小心牙掉了，呵呵～～～
好好		呵呵，说得好脸红了.
事实		呵呵
学会		嗯，我记住了，谢谢！！！
主动		大胆说出你的想法啊，这是主动的第一步
切		你改小看姐姐，找揍啊~
不要		你不要干嘛~
文明		当然比你文明啦
为何		呵呵，不告诉你呀，自己想想
你猜		猜什么嘛猜~直接告诉姐~
凭什么		凭姐霸气，什么都比你强
扯淡		你才扯淡呢~
高兴		高兴时不需要理由的，我也找点乐子去！
对不起		没关系~我有着宽广的胸怀.
机器		沉默是金，浮躁是火，宽容是水，笨拙是木.虽然我有些木，但希望能得到你更多的水.
天天		好好学习，天天上网！
回去		我得再等等，看看大家回不回去
论文		学校的杀手锏呢,你要做吗?
摄影		我很喜欢的，啥时候帮我拍一张，我这么英明神武，不拍照太可惜了
没什么		嘿嘿，是吗
黄金		先学会品尝圣水,再谈这个吧!
嘿嘿		我很乐观，很喜欢笑.呵呵
生日		不用破费为我买礼物啦
休息		我也想
复杂		确实很复杂
设定		查看帮助吧
浪漫		没有音乐和咖啡就无法大便
无奈		不用无奈嘛……
男女		男女有别
沟通		大方点儿，自然点儿，自信点儿
可惜		世上可惜的事多了.再可惜也没有什么用的.
别的		你说呀！！
教程		网上多的是，你自己找啊
婚姻		有人说：婚姻是爱情的坟墓——但是如果没有房子，你TMD连坟墓都进不去！
寂寞		寂寞啊，寂寞，不在寂寞中恋爱，就在寂寞中变态.face98
警察		只抓坏人，不抓好人！
改造		好呀，把我改的聪明点
新浪		嘿嘿，我经常上那儿看新闻
胜利		讲就天下无敌，做就无能为力！
互动		随便来吧.
出发		哦，路上注意安全
随后		呵呵，是嘛，那就好
不喜欢		唉！爱好不同呀.
伙伴		我有很多伙伴呢，要不一起玩啊
你怎么		当然了.
水晶		很漂亮的，你送给我吗？
小妞		没大没小的，叫姐姐我还嫌你小呢
可怜		我不可怜，我可爱face98
和谐		和谐是好事.
见面		好呀，你什么时间方便给我打电话，我派车去接你，我的电话是你猜
猜不出		那我也没办法了
一会儿		你很忙吗？
沉默		说话嘛，表沉默啊，沉默没意思
没人		我在此等你.
早就		没你早
事实上		事实上什么？
是的		不是
退出		我还没下班
网吧		我不想去啊
日韩		流行元素~你也喜欢吗
岁月		是一条河，知道不？
不知道		那你应该了解一下~
离婚		这种事要想想清楚才好，不然以后要后悔的，你说对吗？
美丽		全猫扑最美丽最聪明最可爱的女生就是我.追我的人从16浦排到南京路
真的假的		当然拉~
难过		你难道不难过吗？
最早		不早了，太阳照屁屁了～～
为什么		没有为什么
开车		我不会，妈妈说开车很危险.
男朋友		经过一段时间的了解想要结婚的人选
会对		嘿嘿，果然我们的意见很一致
老头		人老心不老！
上班		今天没放假？
菜鸟		菜鸟先飞.
月薪		公司机密不能外泄
出声		哦，那我就出一声
监察		做人不容易，做美女更不容易，大家互相谅解，共创和谐社会.
没见过		那你就yy一下子,呵呵
阿姨		嘿嘿，你是在叫你自己啊
迷茫		face83类！！
加班		今天不加
什么事情		我什么都知道.
常见问题		什么问题，告诉我吧，我来帮你
除此之外		还有好多呢，嘿嘿
比如		比如我不知道~
梦里		梦？梦到我了？
也对		嘿嘿，果然我们的意见很一致
被子		come on baby偶给你温暖
有缘		那我们可要珍惜哦～～
好不		好呀
找来		好呀你在那里
来找		好呀你在那里
七十		十七？真的假的啊？
最热		我给你吹吹
高了		慢慢来啊别着急
不干		要找新工作吗？
讨好		你调皮吗？
这里面		回头看一下不就知道了.
笨蛋		你都看出来了.
多少		你说多少就多少.
沉默		沉默也是一种美德，你知道吗？
沉默		沉默就是胜利...
是啊		是就好.
是啊		你讲得到很干脆.
是啊		呵呵，是就行.
是啊		你讲得到很干脆，真的是这样想的吗？
在吗		在
就说		真无赖
幸福		幸福的生活是人人都向往的.
幸福		人们在不断的追求着.
幸福		幸福的生活是人人都向往的.
幸福		幸福，是月亮上的路.
欺负		555555555555~~~~~~~~~~
欺负		谁欺负谁？
结婚		谁跟谁结婚？
结婚		你想结婚？
谢谢		不客气
谢谢		跟我客气什么.
谢谢		不客气
疯了		护士，快！！！
疯了		附近有没有精神病医院？
不是		那是什么？
不是		那就不知道了：）
快乐		我也很快乐的
快乐		真的吗？
快乐		呵呵，高兴
快乐		愿所有人都快乐.
寂寞		怎么了？
寂寞		不要不高兴啊，生活还是充满阳光的.
难受		怎么了？
难受		不要不高兴啊，生活还是充满阳光的.
聪明		你是在说我吗？谢谢啦！
聪明		聪明是什么东西？
聪明		聪明？呵呵...
谦虚		我也很谦虚地，只是你看不出来罢了.
谦虚		谦虚也不是很好啊，那是在撒谎.
智力		我的智力如何？
智力		人类的智力是很伟大的.
取代		取代是不可能的，不信你继续看...
是啊		是就好.
是啊		你讲得到很干脆.
是啊		呵呵，是就行.
是啊		你讲得到很干脆，真的是这样想的吗？
讨厌		你也讨厌！
可以		那就好..
可以		那好吧.
进步		进步是必然的，头疼也是必然的，你中午吃得什么？
努力		努力中......要不要响声？？？
努力		继续吧，可爱的孩子...
杀死		怕怕中...你害怕吗？
杀死		有那么厉害吗？
杀了		怕怕中...你害怕吗？
杀了		有那么厉害吗？
机会		积极的人在每一次忧患中都看到一个机会，而消极的人则在每个机会都看到某种忧患.
有啊		真的有吗？
电脑		我会的不多...
电脑		你当我老师吧！
啰嗦		沉默中...
沉默		沉默也是一种美德，你知道吗？
沉默		沉默就是胜利...
信心		没有天生的信心，只有不断培养的信心.
信心		一个人除非自己有信心，否则带给别人信心.
再见		再见
再见		886
再见		不要走啊！！！！
再见		88
麻烦		有什么好麻烦的呢？生活就是这样地.
我来		那就来吧，小心点啊！
礼貌		礼貌是为人最基本的元素.你懂吗？
礼貌		礼貌是为人最基本的元素.
道理		当然拉~美女一般都是以德服人~
机器人		叫我干什么？
机器人		怎么了？
机器人		啊？
机器人		怎么了？
很晚		嗯？嗯？很晚？
萝莉		唉，在呀，叫我干嘛~
好强		过奖~~
怎么着		不怎么着
吃吃		我不用吃东西，也会有无穷的力量.
上班		后天就要上班了哦!!当然希望你上班可以顺顺利利拉!生活可以过的开开心心!
逆境		in every adversity there lies the seed of an equivalent advantage. in every defeat there is a lesson showing you how to win the victory next time
看啊		你到底要看什么啊？
学学		学我
落伍		你out了
嚷嚷		嚷嚷什么？
不坏		那你是好孩子.
行不行		光说不练那是假把事，动真的
喧哗		大家静一静！
正是因为		就是这样
吃醋		那又怎样？
巴掌		你要要打我吗？哇～～～我哭face9
露点		你看你那思想，整天都想着这些东西，赶快找个媳妇，不要在网上耍流氓了，虽然有马甲照着，那也是很猥琐的啊
鬼屋		啊~~~~~~救命
意淫		晕~你就这点出息
火星人		你才火星.连我的博客都不知道.
太狠		一般一般世界第三
亲嘴		啵～～～
袜子		啊喔，好臭啊，几天没洗脚了？
吃喝		我不用吃东西，也会有无穷的力量.
冤枉		你是坏人啊..冤枉我啊…
青青		叫我吗？我不是这个名字啊
走出去		去哪儿啊？你可不能拐骗未成年儿童啊face98
近视		那你应该配一副眼镜，不然近视度数会加深的啊！
幻觉		都是幻覺～嚇不倒我的～～
方位		现在还没有啊，以后告诉你
午饭		今天减肥，不吃了
搂着		讨厌，你坏
要吃		整天吃吃吃，小心你的体重哟
日货		抵制日货，人人有责
多大啊		秘密~人家还没成年呢
蹲着		好..
你知道我多大		多大？
喊我干嘛		么么呀
亲		么么~
外遇		外遇什么的...最讨厌了
我是你		那你是谁？
聊什么		你喜欢聊什么，就聊什么
啵一个		Muma~~~~
你是人吗		$robotname$才不是人呢~$robotname$是最完美最漂亮的美女
天意		如果说一切都是天意，一切都是命运，终究已注定
小蜜		老板我来了~
我想你		亲爱的，我在呢，我也想你！
我帅不		你当然帅
武功		不会啊，你教我吧，呵呵
恶心		才没有来，我可是很可爱的哦……那你可爱吗？
恶心		怀孕了吗~让$robotname$看看
正义		我代表奥特曼消灭你
